Subject,Start Date,End Date,All Day,Description,Location
Osterferien,2026-03-28,2026-04-12,TRUE,,
Hortreise Alex und Lou-Anne,2026-04-07,2026-04-10,TRUE,,
1. Schultag nach den Osterferien,2026-04-13,2026-04-13,TRUE,,
Elternabend „Mein Körper gehört mir“ für Klasse 3+4,2026-04-14 18:00,2026-04-14 20:00,FALSE,,
Theater: Mein Körper gehört mir Teil 1 (Kl 4),2026-04-15 08:50,2026-04-15 12:40,FALSE,2. – 5. Stunde,
Feedbackgespräche,2026-04-17,2026-04-17,TRUE,Angeleitetes Lernen zu Hause,
Feedbackgespräche,2026-04-20,2026-04-20,TRUE,Angeleitetes Lernen zu Hause,
VERA 3 Mathematik/Deutsch,2026-04-20,2026-05-29,TRUE,,
Theater: Mein Körper … Teil 2 (Kl 4),2026-04-22 08:50,2026-04-22 12:40,FALSE,2. – 5. Stunde,
2. Finanzausschuss,2026-04-22 13:45,2026-04-22 15:00,FALSE,,
Theater: Mein Körper … Teil 1 (Kl 3),2026-04-24 08:50,2026-04-24 11:30,FALSE,2. – 4. Stunde,
Theater: Mein Körper … Teil 3 (Kl 4),2026-04-29 08:50,2026-04-29 12:40,FALSE,2. – 5. Stunde,
6. ESL,2026-04-29 13:45,2026-04-29 15:00,FALSE,,
Tag der Arbeit,2026-05-01,2026-05-01,TRUE,Feiertag,
Elternversammlungen,2026-05-04,2026-05-07,TRUE,,
6. KSK,2026-05-06 13:45,2026-05-06 15:00,FALSE,,
Theater: Mein Körper … Teil 2 (Kl 3),2026-05-08 08:50,2026-05-08 11:30,FALSE,2. – 4. Stunde,
Himmelfahrt & Brückentag,2026-05-14,2026-05-15,TRUE,Hort geschlossen!,
Theater: Mein Körper … Teil 3 (Kl 3),2026-05-18 08:50,2026-05-18 11:30,FALSE,2. – 4. Stunde,
4. EFöB Teamsitzung,2026-05-19 10:00,2026-05-19 11:20,FALSE,Thema: GK/SK,
4. Gesamtelternvertretung (GEV),2026-05-19 19:00,2026-05-19 21:00,FALSE,,
Schnupperstunde für zukünftige Schulanfänger,2026-05-20 12:00,2026-05-20 16:30,FALSE,,
4. Gesamtschülervertretung (GSV),2026-05-22 09:55,2026-05-22 10:40,FALSE,,
Pfingstmontag & schulfreier Tag,2026-05-25,2026-05-26,TRUE,Hort geschlossen!,
4. Gesamtkonferenz (GK),2026-05-27 16:30,2026-05-27 18:30,FALSE,,
Bundesjugendspiele Klasse 1+2,2026-05-28,2026-05-28,TRUE,,
Schulfest,2026-05-29 15:00,2026-05-29 18:00,FALSE,,
Einteilung der neuen 1. Klassen,2026-06-03 13:45,2026-06-03 15:30,FALSE,,
Ersatztermin Bundesjugendspiele Kl 1+2,2026-06-04,2026-06-04,TRUE,,
4. Schulkonferenz (SK),2026-06-10 16:30,2026-06-10 18:00,FALSE,,
0. Elternabend für Schulanfänger,2026-06-17 17:00,2026-06-17 19:00,FALSE,,
4. Schulversammlung / Verabschiedungsfeier,2026-07-08 08:50,2026-07-08 09:35,FALSE,,
Zeugnisausgabe (3. Stunde),2026-07-08 09:55,2026-07-08 10:40,FALSE,,
Letzter Schultag,2026-07-08,2026-07-08,TRUE,Unterrichtsende nach der 3. Stunde,
Sommerferien,2026-07-09,2026-08-23,TRUE,,
Hortreise Iris und Joana,2026-07-13,2026-07-17,TRUE,,
Hortreise Claudia und Roswitha,2026-08-02,2026-08-06,TRUE,,
Präsenztage für die Lehrkräfte,2026-08-19,2026-08-21,TRUE,,
Hort geschlossen,2026-08-21,2026-08-21,TRUE,Hort geschlossen! (Präsenztag),
1. Schultag nach den Ferien,2026-08-24,2026-08-24,TRUE,,
